draw_no,draw_date,main,supp,powerball,source
1,1996-05-23,2 8 27 30 42,,3,archive
2,1996-05-30,6 8 15 23 44,,5,archive
3,1996-06-06,4 32 33 36 40,,44,archive
4,1996-06-13,25 37 40 42 43,,17,archive
5,1996-06-20,3 15 30 33 39,,39,archive
6,1996-06-27,1 3 10 35 41,,45,archive
7,1996-07-04,3 7 12 16 34,,1,archive
8,1996-07-11,14 26 28 38 40,,29,archive
9,1996-07-18,9 12 14 23 43,,2,archive
10,1996-07-25,4 9 11 23 43,,24,archive
11,1996-08-01,2 19 25 30 36,,32,archive
12,1996-08-08,22 25 36 41 44,,7,archive
13,1996-08-15,7 14 22 33 42,,17,archive
14,1996-08-22,5 8 9 24 42,,4,archive
15,1996-08-29,5 8 11 20 31,,4,archive
16,1996-09-05,6 16 22 29 41,,35,archive
17,1996-09-12,3 6 8 27 45,,33,archive
18,1996-09-19,9 18 21 29 30,,34,archive
19,1996-09-26,2 15 26 36 45,,17,archive
20,1996-10-03,9 14 26 35 45,,36,archive
21,1996-10-10,6 10 15 18 35,,16,archive
22,1996-10-17,6 9 17 23 28,,45,archive
23,1996-10-24,15 24 26 34 43,,7,archive
24,1996-10-31,4 5 19 42 45,,26,archive
25,1996-11-07,4 19 21 23 36,,23,archive
26,1996-11-14,3 10 30 42 43,,12,archive
27,1996-11-21,2 18 24 27 42,,12,archive
28,1996-11-28,5 20 24 30 36,,19,archive
29,1996-12-05,5 6 17 20 30,,13,archive
30,1996-12-12,2 8 13 22 35,,42,archive
31,1996-12-19,6 10 12 22 27,,38,archive
32,1996-12-26,5 8 15 19 24,,3,archive
33,1997-01-02,1 11 16 22 24,,26,archive
34,1997-01-09,7 22 39 41 43,,38,archive
35,1997-01-16,1 5 17 28 39,,30,archive
36,1997-01-23,7 18 21 27 37,,1,archive
37,1997-01-30,3 5 13 19 33,,23,archive
38,1997-02-06,6 10 19 25 29,,31,archive
39,1997-02-13,6 15 17 39 43,,5,archive
40,1997-02-20,9 20 24 40 43,,33,archive
41,1997-02-27,20 21 32 33 40,,24,archive
42,1997-03-06,1 11 28 34 38,,27,archive
43,1997-03-13,13 17 20 26 42,,8,archive
44,1997-03-20,14 20 24 28 29,,42,archive
45,1997-03-27,9 15 29 35 37,,43,archive
46,1997-04-03,7 8 10 32 43,,38,archive
47,1997-04-10,11 14 17 26 44,,1,archive
48,1997-04-17,3 5 23 29 38,,8,archive
49,1997-04-24,18 33 35 38 39,,24,archive
50,1997-05-01,12 19 29 39 44,,17,archive
51,1997-05-08,2 17 22 41 45,,18,archive
52,1997-05-15,9 18 21 29 32,,10,archive
53,1997-05-22,4 5 7 25 34,,32,archive
54,1997-05-29,3 8 10 14 26,,37,archive
55,1997-06-05,23 24 27 39 44,,11,archive
56,1997-06-12,1 4 5 34 45,,21,archive
57,1997-06-19,4 13 25 28 36,,27,archive
58,1997-06-26,5 12 23 27 36,,4,archive
59,1997-07-03,21 22 24 30 42,,31,archive
60,1997-07-10,20 21 26 28 36,,19,archive
61,1997-07-17,16 21 38 40 43,,33,archive
62,1997-07-24,10 13 19 23 25,,22,archive
63,1997-07-31,7 12 25 37 40,,22,archive
64,1997-08-07,2 35 36 37 38,,39,archive
65,1997-08-14,2 5 7 36 38,,27,archive
66,1997-08-21,7 14 16 36 41,,29,archive
67,1997-08-28,5 6 29 36 37,,12,archive
68,1997-09-04,1 2 12 35 39,,40,archive
69,1997-09-11,7 9 30 33 43,,8,archive
70,1997-09-18,22 29 30 33 45,,10,archive
71,1997-09-25,13 18 21 31 38,,30,archive
72,1997-10-02,8 14 35 37 39,,32,archive
73,1997-10-09,6 14 15 18 23,,25,archive
74,1997-10-16,1 15 22 38 45,,38,archive
75,1997-10-23,7 12 39 41 45,,34,archive
76,1997-10-30,8 10 20 22 28,,43,archive
77,1997-11-06,2 3 4 32 39,,44,archive
78,1997-11-13,5 13 15 19 33,,11,archive
79,1997-11-20,9 27 35 37 43,,3,archive
80,1997-11-27,4 5 7 22 41,,24,archive
81,1997-12-04,3 5 12 31 44,,29,archive
82,1997-12-11,3 10 14 23 44,,7,archive
83,1997-12-18,10 16 17 22 32,,43,archive
84,1997-12-25,7 15 22 35 40,,45,archive
85,1998-01-01,8 11 15 19 20,,43,archive
86,1998-01-08,2 15 16 31 32,,26,archive
87,1998-01-15,4 13 15 21 30,,10,archive
88,1998-01-22,5 11 12 34 40,,7,archive
89,1998-01-29,2 12 13 28 43,,26,archive
90,1998-02-05,6 12 16 21 26,,32,archive
91,1998-02-12,9 17 19 20 39,,44,archive
92,1998-02-19,9 10 14 20 39,,18,archive
93,1998-02-26,12 21 22 29 45,,24,archive
94,1998-03-05,9 14 16 17 19,,23,archive
95,1998-03-12,8 20 28 34 39,,1,archive
96,1998-03-19,4 9 12 32 40,,1,archive
97,1998-03-26,7 18 19 25 31,,31,archive
98,1998-04-02,2 8 17 38 42,,25,archive
99,1998-04-09,19 21 22 25 31,,20,archive
100,1998-04-16,9 21 28 38 44,,32,archive
101,1998-04-23,2 3 9 27 35,,3,archive
102,1998-04-30,11 22 32 34 42,,21,archive
103,1998-05-07,9 10 28 41 42,,27,archive
104,1998-05-14,1 5 24 27 29,,34,archive
105,1998-05-21,3 4 10 22 33,,45,archive
106,1998-05-28,11 25 37 38 41,,20,archive
107,1998-06-04,14 28 31 32 44,,31,archive
108,1998-06-11,3 24 28 30 44,,25,archive
109,1998-06-18,9 11 19 31 38,,39,archive
110,1998-06-25,4 8 29 40 41,,37,archive
111,1998-07-02,8 14 26 33 35,,15,archive
112,1998-07-09,5 20 21 27 41,,38,archive
113,1998-07-16,20 22 33 37 44,,18,archive
114,1998-07-23,14 17 21 32 42,,24,archive
115,1998-07-30,3 11 20 27 37,,34,archive
116,1998-08-06,5 24 26 27 39,,28,archive
117,1998-08-13,15 17 20 27 28,,4,archive
118,1998-08-20,11 16 17 42 45,,14,archive
119,1998-08-27,16 19 28 31 41,,45,archive
120,1998-09-03,6 7 22 31 41,,10,archive
121,1998-09-10,1 14 19 20 32,,18,archive
122,1998-09-17,25 33 34 37 38,,1,archive
123,1998-09-24,1 14 15 17 34,,14,archive
124,1998-10-01,4 11 16 30 36,,38,archive
125,1998-10-08,3 10 19 24 37,,5,archive
126,1998-10-15,12 22 28 35 44,,42,archive
127,1998-10-22,7 17 32 40 45,,44,archive
128,1998-10-29,10 25 33 34 42,,33,archive
129,1998-11-05,5 15 35 38 39,,12,archive
130,1998-11-12,8 18 20 31 38,,19,archive
131,1998-11-19,7 10 12 20 42,,18,archive
132,1998-11-26,11 15 24 25 28,,33,archive
133,1998-12-03,10 22 25 29 41,,38,archive
134,1998-12-10,4 7 12 20 31,,41,archive
135,1998-12-17,7 12 36 37 45,,13,archive
136,1998-12-24,8 20 27 39 40,,4,archive
137,1998-12-31,4 19 27 31 41,,39,archive
138,1999-01-07,1 4 18 28 40,,6,archive
139,1999-01-14,1 16 26 32 39,,26,archive
140,1999-01-21,5 18 20 24 41,,24,archive
141,1999-01-28,3 4 15 33 41,,44,archive
142,1999-02-04,18 25 29 35 42,,12,archive
143,1999-02-11,11 17 23 34 40,,26,archive
144,1999-02-18,7 13 22 43 45,,33,archive
145,1999-02-25,8 16 17 18 33,,39,archive
146,1999-03-04,4 9 14 35 41,,6,archive
147,1999-03-11,8 11 21 35 40,,24,archive
148,1999-03-18,34 38 39 41 43,,29,archive
149,1999-03-25,6 9 13 16 44,,42,archive
150,1999-04-01,7 18 27 37 44,,39,archive
151,1999-04-08,6 20 23 28 37,,44,archive
152,1999-04-15,2 6 9 10 29,,2,archive
153,1999-04-22,7 18 26 31 41,,6,archive
154,1999-04-29,1 15 18 28 34,,45,archive
155,1999-05-06,12 18 23 24 25,,39,archive
156,1999-05-13,9 10 33 34 45,,6,archive
157,1999-05-20,2 33 37 39 43,,3,archive
158,1999-05-27,1 9 23 25 41,,23,archive
159,1999-06-03,5 8 12 33 45,,14,archive
160,1999-06-10,2 7 12 20 41,,13,archive
161,1999-06-17,5 15 39 40 43,,20,archive
162,1999-06-24,2 10 27 28 38,,20,archive
163,1999-07-01,12 16 20 23 30,,16,archive
164,1999-07-08,2 12 19 22 28,,43,archive
165,1999-07-15,7 27 32 33 35,,26,archive
166,1999-07-22,26 29 30 44 45,,45,archive
167,1999-07-29,2 13 16 17 34,,31,archive
168,1999-08-05,14 15 23 24 25,,3,archive
169,1999-08-12,12 17 20 30 41,,37,archive
170,1999-08-19,11 23 35 39 45,,4,archive
171,1999-08-26,16 31 39 43 44,,40,archive
172,1999-09-02,2 3 37 41 44,,11,archive
173,1999-09-09,4 19 22 33 40,,28,archive
174,1999-09-16,5 7 16 18 43,,6,archive
175,1999-09-23,19 20 26 39 45,,18,archive
176,1999-09-30,5 14 16 20 29,,45,archive
177,1999-10-07,11 19 22 30 32,,19,archive
178,1999-10-14,7 18 22 26 35,,11,archive
179,1999-10-21,5 16 17 32 33,,27,archive
