draw_no,draw_date,main,supp,powerball,source
533,1986-08-30,6 7 9 14 20 30,26 35,,archive
535,1986-09-06,1 3 10 34 39 45,14 42,,archive
537,1986-09-13,5 8 14 16 21 28,3 20,,archive
539,1986-09-20,3 21 37 40 43 44,36 45,,archive
541,1986-09-27,2 11 21 27 35 37,20 30,,archive
543,1986-10-04,10 12 18 19 24 27,31 32,,archive
545,1986-10-11,8 9 13 19 28 30,23 39,,archive
547,1986-10-18,11 21 22 28 30 37,23 34,,archive
549,1986-10-25,8 18 23 24 41 44,22 43,,archive
551,1986-11-01,1 3 4 27 29 41,23 28,,archive
553,1986-11-08,9 16 22 33 34 37,26 41,,archive
555,1986-11-15,4 12 27 28 29 30,8 38,,archive
557,1986-11-22,7 15 19 21 25 41,5 39,,archive
559,1986-11-29,8 18 19 25 26 29,23 34,,archive
561,1986-12-06,5 7 10 26 29 32,6 36,,archive
563,1986-12-13,2 4 7 19 25 27,34 36,,archive
565,1986-12-20,2 10 14 22 23 34,41 45,,archive
567,1986-12-27,1 8 16 31 40 43,3 17,,archive
569,1987-01-03,3 8 15 16 23 25,10 31,,archive
571,1987-01-10,5 24 31 36 40 44,4 33,,archive
573,1987-01-17,3 9 20 29 36 44,10 45,,archive
575,1987-01-24,18 21 24 25 26 44,8 34,,archive
577,1987-01-31,2 8 12 15 22 35,41 43,,archive
579,1987-02-07,4 9 28 32 35 39,5 15,,archive
581,1987-02-14,18 19 20 29 32 40,10 15,,archive
583,1987-02-21,14 16 29 41 42 43,8 27,,archive
585,1987-02-28,2 6 27 35 41 44,23 32,,archive
587,1987-03-07,7 9 11 20 28 36,37 40,,archive
589,1987-03-14,10 16 22 23 27 37,11 44,,archive
591,1987-03-21,8 10 14 29 35 38,21 34,,archive
593,1987-03-28,2 10 18 27 28 36,33 39,,archive
595,1987-04-04,2 11 17 29 32 40,10 16,,archive
597,1987-04-11,4 7 17 23 33 37,15 41,,archive
599,1987-04-18,7 26 29 31 33 38,3 8,,archive
601,1987-04-25,2 8 18 33 35 41,10 14,,archive
603,1987-05-02,1 5 14 36 41 44,7 25,,archive
605,1987-05-09,9 12 17 24 30 44,5 41,,archive
607,1987-05-16,8 12 16 33 38 40,30 35,,archive
609,1987-05-23,4 6 12 13 25 32,22 35,,archive
611,1987-05-30,7 15 31 32 38 43,13 19,,archive
613,1987-06-06,9 14 15 18 19 25,6 39,,archive
615,1987-06-13,7 11 21 32 40 45,20 39,,archive
617,1987-06-20,2 3 29 30 35 43,16 36,,archive
619,1987-06-27,1 4 14 16 30 45,15 23,,archive
621,1987-07-04,18 19 20 28 33 36,11 34,,archive
623,1987-07-11,1 12 18 20 26 42,30 37,,archive
625,1987-07-18,1 6 8 30 32 41,10 27,,archive
627,1987-07-25,1 2 12 15 38 39,21 22,,archive
629,1987-08-01,11 23 31 33 40 42,10 34,,archive
631,1987-08-08,3 8 13 17 31 39,7 15,,archive
633,1987-08-15,23 33 34 37 38 39,1 44,,archive
635,1987-08-22,1 6 8 27 33 39,10 40,,archive
637,1987-08-29,7 22 23 35 37 45,15 25,,archive
639,1987-09-05,12 14 24 32 37 40,8 31,,archive
641,1987-09-12,4 6 7 25 29 42,17 23,,archive
643,1987-09-19,2 11 15 19 27 31,16 20,,archive
645,1987-09-26,6 11 20 31 35 44,26 28,,archive
647,1987-10-03,3 12 26 33 41 44,2 24,,archive
649,1987-10-10,7 9 14 20 35 41,40 45,,archive
651,1987-10-17,13 16 19 40 41 44,9 32,,archive
653,1987-10-24,17 23 25 36 39 43,5 10,,archive
655,1987-10-31,7 10 11 16 32 33,19 45,,archive
657,1987-11-07,4 16 17 27 41 42,13 14,,archive
659,1987-11-14,12 13 18 34 40 45,8 43,,archive
661,1987-11-21,26 29 38 41 43 44,5 39,,archive
663,1987-11-28,9 12 24 25 26 43,21 28,,archive
665,1987-12-05,1 2 16 24 32 38,37 45,,archive
667,1987-12-12,23 26 27 36 38 44,3 45,,archive
669,1987-12-19,19 21 25 27 42 45,12 13,,archive
671,1987-12-26,5 10 21 22 25 27,13 23,,archive
673,1988-01-02,8 19 21 31 33 42,23 44,,archive
675,1988-01-09,5 7 8 13 39 45,11 29,,archive
677,1988-01-16,2 10 11 14 43 44,24 34,,archive
679,1988-01-23,3 8 9 24 31 39,6 35,,archive
681,1988-01-30,2 3 17 26 29 44,28 40,,archive
683,1988-02-06,10 14 27 28 41 43,23 31,,archive
685,1988-02-13,9 21 25 27 34 37,3 31,,archive
687,1988-02-20,10 17 25 27 41 42,23 44,,archive
